Date/Time;Lat;Lon;Base
6/1/2014 00:00;407.293;-739.920;B02512
6/1/2014 00:01;407.131;-740.097;B02512
6/1/2014 00:04;403.461;-746.610;B02512
6/1/2014 00:04;407.555;-739.833;B02512
6/1/2014 00:07;406.880;-741.831;B02512
6/1/2014 00:08;407.152;-739.917;B02512
6/1/2014 00:08;407.282;-739.910;B02512
6/1/2014 00:08;403.042;-739.794;B02512
6/1/2014 00:09;407.270;-739.915;B02512
6/1/2014 00:10;407.221;-739.965;B02512
6/1/2014 00:11;407.153;-740.146;B02512
6/1/2014 00:15;406.176;-740.197;B02512
6/1/2014 00:16;407.025;-739.897;B02512
6/1/2014 00:17;407.350;-741.650;B02512
6/1/2014 00:17;407.357;-740.068;B02512
6/1/2014 00:18;406.904;-739.572;B02512
6/1/2014 00:19;407.384;-739.857;B02512
6/1/2014 00:20;407.406;-740.066;B02512
6/1/2014 00:21;407.535;-739.813;B02512
6/1/2014 00:21;407.220;-739.804;B02512
6/1/2014 00:23;408.095;-741.037;B02512
6/1/2014 00:23;407.482;-739.745;B02512
6/1/2014 00:30;407.043;-739.330;B02512
6/1/2014 00:32;407.298;-739.898;B02512
6/1/2014 00:32;407.397;-740.053;B02512
6/1/2014 00:34;407.607;-740.025;B02512
6/1/2014 00:37;407.578;-739.703;B02512
6/1/2014 00:39;407.349;-739.850;B02512
6/1/2014 00:39;407.133;-739.775;B02512
6/1/2014 00:40;407.273;-739.936;B02512
6/1/2014 02:50;407.190;-739.888;B02512
6/1/2014 02:51;406.564;-736.453;B02512
6/1/2014 02:53;407.261;-739.918;B02512
6/1/2014 02:54;407.191;-739.892;B02512
6/1/2014 02:58;407.286;-739.954;B02512
6/1/2014 03:10;407.615;-739.750;B02512
6/1/2014 03:11;407.278;-739.991;B02512
6/1/2014 03:14;407.503;-739.839;B02512
6/1/2014 03:19;407.389;-740.081;B02512
6/1/2014 03:23;407.750;-739.907;B02512
6/1/2014 03:32;407.054;-740.072;B02512
6/1/2014 03:35;407.303;-740.025;B02512
6/1/2014 03:36;407.347;-739.924;B02512
6/1/2014 04:03;407.224;-739.878;B02512
6/1/2014 04:51;406.982;-734.620;B02512
6/1/2014 04:54;406.449;-737.818;B02512
6/1/2014 04:56;406.450;-737.820;B02512
6/1/2014 05:07;407.699;-739.843;B02512
6/1/2014 05:10;407.372;-739.967;B02512
6/1/2014 05:14;406.448;-737.826;B02512
6/1/2014 05:48;407.228;-740.019;B02512
6/1/2014 06:19;407.360;-739.792;B02512
6/1/2014 06:21;407.536;-739.915;B02512
6/1/2014 06:24;407.615;-739.881;B02512
6/1/2014 06:25;408.525;-738.281;B02512
6/1/2014 06:27;407.554;-739.738;B02512
6/1/2014 06:35;407.543;-739.817;B02512
6/1/2014 06:37;407.751;-739.633;B02512
6/1/2014 06:46;406.952;-741.784;B02512
6/1/2014 06:51;407.621;-739.817;B02512
