Date/Time;Lat;Lon;Base
5/1/2014 00:02;407.521;-739.914;B02512
5/1/2014 00:06;406.965;-739.715;B02512
5/1/2014 00:15;407.464;-739.838;B02512
5/1/2014 00:17;407.463;-740.011;B02512
5/1/2014 00:17;407.594;-739.734;B02512
5/1/2014 00:20;407.685;-738.625;B02512
5/1/2014 00:21;407.637;-739.962;B02512
5/1/2014 00:21;407.252;-740.023;B02512
5/1/2014 00:25;407.607;-739.625;B02512
5/1/2014 00:25;407.212;-739.879;B02512
5/1/2014 00:29;407.255;-739.986;B02512
5/1/2014 00:32;406.467;-737.901;B02512
5/1/2014 00:40;407.613;-739.788;B02512
5/1/2014 00:56;407.807;-739.497;B02512
5/1/2014 01:00;407.585;-739.708;B02512
5/1/2014 01:02;407.163;-739.895;B02512
5/1/2014 01:06;407.265;-739.958;B02512
5/1/2014 01:13;407.559;-739.867;B02512
5/1/2014 01:13;407.671;-739.956;B02512
5/1/2014 01:20;407.707;-739.944;B02512
5/1/2014 01:22;407.607;-739.784;B02512
5/1/2014 01:25;407.382;-740.096;B02512
5/1/2014 01:26;407.590;-739.725;B02512
5/1/2014 01:27;407.456;-739.915;B02512
5/1/2014 01:28;407.285;-740.044;B02512
5/1/2014 01:32;407.218;-739.921;B02512
5/1/2014 01:45;407.440;-739.877;B02512
5/1/2014 01:48;407.100;-740.091;B02512
5/1/2014 02:00;407.412;-740.078;B02512
5/1/2014 02:13;407.508;-740.056;B02512
5/1/2014 05:17;407.740;-739.824;B02512
5/1/2014 05:17;407.388;-740.027;B02512
5/1/2014 05:18;407.781;-739.749;B02512
5/1/2014 05:21;407.612;-739.995;B02512
5/1/2014 05:23;407.592;-740.234;B02512
5/1/2014 05:24;408.895;-737.939;B02512
5/1/2014 05:27;407.449;-739.772;B02512
5/1/2014 05:27;407.449;-739.772;B02512
5/1/2014 05:29;406.951;-741.784;B02512
5/1/2014 05:30;407.705;-739.857;B02512
5/1/2014 05:34;407.327;-740.088;B02512
5/1/2014 05:35;407.985;-739.729;B02512
5/1/2014 05:36;407.486;-739.737;B02512
5/1/2014 05:38;407.372;-740.372;B02512
5/1/2014 05:38;407.372;-740.372;B02512
5/1/2014 05:38;407.912;-739.651;B02512
5/1/2014 05:39;407.323;-739.941;B02512
5/1/2014 05:40;407.828;-739.797;B02512
5/1/2014 05:40;407.828;-739.797;B02512
5/1/2014 05:41;407.179;-739.895;B02512
5/1/2014 05:46;407.290;-740.066;B02512
5/1/2014 05:49;408.109;-741.575;B02512
5/1/2014 05:49;407.149;-740.065;B02512
5/1/2014 05:56;407.186;-740.079;B02512
5/1/2014 06:03;407.745;-739.838;B02512
5/1/2014 06:03;407.753;-739.901;B02512
5/1/2014 06:07;407.204;-740.085;B02512
5/1/2014 06:07;407.175;-740.022;B02512
5/1/2014 06:07;407.321;-739.885;B02512
5/1/2014 06:08;407.273;-739.922;B02512
