Date/Time;Lat;Lon;Base
4/1/2014 00:11;407.690;-739.549;B02512
4/1/2014 00:17;407.267;-740.345;B02512
4/1/2014 00:21;407.316;-739.873;B02512
4/1/2014 00:28;407.588;-739.776;B02512
4/1/2014 00:33;407.594;-739.722;B02512
4/1/2014 00:33;407.383;-740.403;B02512
4/1/2014 00:39;407.223;-739.887;B02512
4/1/2014 00:45;407.620;-739.790;B02512
4/1/2014 00:55;407.524;-739.960;B02512
4/1/2014 01:01;407.575;-739.846;B02512
4/1/2014 01:19;407.256;-739.869;B02512
4/1/2014 01:48;407.591;-739.684;B02512
4/1/2014 01:49;407.271;-739.803;B02512
4/1/2014 02:11;406.463;-737.896;B02512
4/1/2014 02:25;407.564;-739.167;B02512
4/1/2014 02:31;407.666;-739.531;B02512
4/1/2014 02:43;407.580;-739.761;B02512
4/1/2014 03:22;407.238;-739.821;B02512
4/1/2014 03:35;407.531;-740.039;B02512
4/1/2014 03:35;407.389;-740.393;B02512
4/1/2014 03:41;407.619;-739.715;B02512
4/1/2014 04:11;407.530;-740.042;B02512
4/1/2014 04:15;406.561;-739.531;B02512
4/1/2014 04:19;407.250;-739.844;B02512
4/1/2014 04:20;406.950;-741.783;B02512
4/1/2014 04:26;409.859;-741.578;B02512
4/1/2014 04:27;406.879;-741.814;B02512
4/1/2014 04:38;406.878;-741.816;B02512
4/1/2014 04:47;407.234;-739.974;B02512
4/1/2014 04:49;407.336;-739.900;B02512
4/1/2014 06:20;407.599;-739.944;B02512
4/1/2014 06:21;407.531;-740.039;B02512
4/1/2014 06:22;407.791;-739.623;B02512
4/1/2014 06:25;407.382;-740.033;B02512
4/1/2014 06:31;407.391;-739.989;B02512
4/1/2014 06:31;407.806;-739.820;B02512
4/1/2014 06:32;407.322;-739.863;B02512
4/1/2014 06:33;407.703;-739.660;B02512
4/1/2014 06:34;407.221;-740.018;B02512
4/1/2014 06:35;407.588;-739.895;B02512
4/1/2014 06:36;407.677;-739.656;B02512
4/1/2014 06:37;407.404;-740.076;B02512
4/1/2014 06:38;407.679;-739.599;B02512
4/1/2014 06:39;407.694;-739.852;B02512
4/1/2014 06:40;407.858;-739.546;B02512
4/1/2014 06:40;407.742;-739.491;B02512
4/1/2014 06:42;407.703;-739.500;B02512
4/1/2014 06:42;407.614;-739.997;B02512
4/1/2014 06:43;407.930;-739.749;B02512
4/1/2014 06:44;407.231;-739.442;B02512
4/1/2014 06:45;407.874;-739.545;B02512
4/1/2014 06:47;407.689;-739.812;B02512
4/1/2014 06:47;407.789;-739.557;B02512
4/1/2014 06:48;407.271;-740.054;B02512
4/1/2014 06:52;407.877;-739.730;B02512
4/1/2014 06:52;407.255;-740.092;B02512
4/1/2014 06:54;407.653;-739.723;B02512
4/1/2014 06:56;407.644;-739.769;B02512
4/1/2014 06:57;407.726;-739.532;B02512
4/1/2014 06:59;407.898;-739.661;B02512
